date,tx_type,sec_name,amount,ticker,units,unit_price
2025-02-28 12:00:00+00:00,BUY,WESTERN UNION CO,-2150.00000000,WU,200.0000,10.7500
2025-02-28 12:00:00+00:00,DEBIT,ACH WITHDRAWAL,-400.00,,,
2025-03-05 12:00:00+00:00,BUY,WESTERN UNION CO,-1071.00000000,WU,100.0000,10.7100
2025-03-05 12:00:00+00:00,BUY,PENNANTPARK INVESTMENT CORP,-1416.00000000,PNNT,200.0000,7.0800
2025-03-05 12:00:00+00:00,BUY,FS KKR CAPITAL CORP,-2253.00000000,FSK,100.0000,22.5300
2025-03-05 12:00:00+00:00,SELL,SELECT SECTOR SPDR FUND,20949.00000000,XLY,-100.0000,209.4900
2025-03-05 12:00:00+00:00,BUY,FIRST LONG ISLAND CORP,-1248.00000000,FLIC,100.0000,12.4800
2025-03-05 12:00:00+00:00,BUY,FIRST LONG ISLAND CORP,-1239.00000000,FLIC,100.0000,12.3900
2025-03-06 12:00:00+00:00,DIV,SPDR SERIES TRUST,14.7600,SPHY,,
2025-03-07 12:00:00+00:00,DIV,ISHARES INTEREST RATE HEDGED,98.6200,HYGH,,
2025-03-14 12:00:00+00:00,DIV,REALTY INCOME CORP,26.8000,O,,
2025-03-24 12:00:00+00:00,BUY,SHP ETF TR,-4949.00000000,SPYI,100.0000,49.4900
2025-03-25 12:00:00+00:00,BUY,INVESCO MORTGAGE CAPITAL INC,-862.00000000,IVR,100.0000,8.6200
2025-03-25 12:00:00+00:00,BUY,ELLINGTON FINANCIAL INC,-1337.67000000,EFC,100.0000,13.3767
2025-03-26 12:00:00+00:00,BUY,INVESCO MORTGAGE CAPITAL INC,-806.00000000,IVR,100.0000,8.0600
2025-03-27 12:00:00+00:00,BUY,INVESCO MORTGAGE CAPITAL INC,-815.61000000,IVR,100.0000,8.1561
2025-03-27 12:00:00+00:00,SELL,PENNANTPARK INVESTMENT CORP,1436.62000000,PNNT,-200.0000,7.1831
2025-03-28 12:00:00+00:00,BUY,MFA FINANCIAL INC,-1055.00000000,MFA,100.0000,10.5500
2025-03-28 12:00:00+00:00,DIV,SHP ETF TR,50.6500,SPYI,,
2025-03-31 12:00:00+00:00,DIV,WESTERN UNION CO,70.5000,WU,,
2025-04-01 12:00:00+00:00,DIV,PENNANTPARK INVESTMENT CORP,48.0000,PNNT,,
2025-04-02 12:00:00+00:00,SELL,REALTY INCOME CORP,5711.00000000,O,-100.0000,57.1100
2025-04-02 12:00:00+00:00,BUY,PENNANTPARK FLOATING RATE,-1104.69000000,PFLT,100.0000,11.0469
2025-04-02 12:00:00+00:00,BUY,INVESCO MORTGAGE CAPITAL INC,-796.00000000,IVR,100.0000,7.9600
2025-04-02 12:00:00+00:00,DIV,FS KKR CAPITAL CORP,140.0000,FSK,,
2025-04-03 12:00:00+00:00,DIV,FIRST LONG ISLAND CORP,63.0000,FLIC,,
2025-04-04 12:00:00+00:00,DIV,SPDR SERIES TRUST,14.7700,SPHY,,
2025-04-07 12:00:00+00:00,DIV,ISHARES INTEREST RATE HEDGED,102.0100,HYGH,,
2025-04-11 12:00:00+00:00,DIV,FRANKLIN RESOURCES INC,32.0000,BEN,,
2025-04-11 12:00:00+00:00,CREDIT,FULLYPAID LENDING REBATE,0.44,,,
2025-04-15 12:00:00+00:00,DIV,REALTY INCOME CORP,26.8500,O,,
2025-04-16 12:00:00+00:00,BUY,INVESCO MORTGAGE CAPITAL INC,-646.89000000,IVR,100.0000,6.4689
2025-04-16 12:00:00+00:00,BUY,PENNANTPARK FLOATING RATE,-950.84000000,PFLT,100.0000,9.5084
2025-04-17 12:00:00+00:00,CREDIT,ACH DEPOSIT,8500.00,,,
2025-04-21 12:00:00+00:00,CREDIT,ACH DEPOSIT,1500.00,,,
2025-04-24 12:00:00+00:00,BUY,ELLINGTON FINANCIAL INC,-1279.84000000,EFC,100.0000,12.7984
2025-04-24 12:00:00+00:00,BUY,RBB FD INC,-4848.50000000,UTWO,100.0000,48.4850
2025-04-24 12:00:00+00:00,BUY,AGNC INVESTMENT CORP,-873.00000000,AGNC,100.0000,8.7300
2025-04-24 12:00:00+00:00,BUY,AGNC INVESTMENT CORP,-873.59000000,AGNC,100.0000,8.7359
2025-04-25 12:00:00+00:00,DIV,ELLINGTON FINANCIAL INC,13.0000,EFC,,
2025-04-25 12:00:00+00:00,DIV,INVESCO MORTGAGE CAPITAL INC,136.0000,IVR,,
2025-04-25 12:00:00+00:00,DIV,SHP ETF TR,46.1600,SPYI,,
2025-04-29 12:00:00+00:00,BUY,FS KKR CAPITAL CORP,-2012.00000000,FSK,100.0000,20.1200
2025-04-30 12:00:00+00:00,BUY,EA SER TR,-4475.44000000,BOXX,40.0000,111.8860
2025-04-30 12:00:00+00:00,BUY,RBB FD INC,-4866.88000000,UTWO,100.0000,48.6688
2025-04-30 12:00:00+00:00,SELL,ISHARES INTEREST RATE HEDGED,8418.93000000,HYGH,-100.0000,84.1893
2025-04-30 12:00:00+00:00,BUY,EA SER TR,-11188.725000000,BOXX,100.0000,111.88725
2025-04-30 12:00:00+00:00,DIV,MFA FINANCIAL INC,36.0000,MFA,,
2025-04-30 12:00:00+00:00,CREDIT,ACH DEPOSIT,10000.00,,,
2025-05-01 12:00:00+00:00,DIV,PENNANTPARK INVESTMENT CORP,32.0000,PNNT,,
2025-05-01 12:00:00+00:00,DIV,PENNANTPARK FLOATING RATE,10.2500,PFLT,,
2025-05-02 12:00:00+00:00,DIV,RBB FD INC,30.2400,UTWO,,
2025-05-06 12:00:00+00:00,DIV,SPDR SERIES TRUST,14.6500,SPHY,,
2025-05-07 12:00:00+00:00,DIV,ISHARES INTEREST RATE HEDGED,51.3500,HYGH,,
2025-05-09 12:00:00+00:00,DIV,AGNC INVESTMENT CORP,24.0000,AGNC,,
2025-05-13 12:00:00+00:00,CREDIT,FULLYPAID LENDING REBATE,0.79,,,
2025-05-20 12:00:00+00:00,BUY,REALTY INCOME CORP,-5615.6852000000,O,100.0000,56.156852
2025-05-20 12:00:00+00:00,SELL,EA SER TR,4486.00000000,BOXX,-40.0000,112.1500
2025-05-20 12:00:00+00:00,SELL,FRANKLIN RESOURCES INC,2211.50000000,BEN,-100.0000,22.1150
2025-05-21 12:00:00+00:00,SELL,RBB FD INC,4826.01000000,UTWO,-100.0000,48.2601
2025-05-21 12:00:00+00:00,BUY,ELLINGTON FINANCIAL INC,-1269.00000000,EFC,100.0000,12.6900
2025-05-22 12:00:00+00:00,BUY,WESTERN UNION CO,-965.7297000000,WU,100.0000,9.657297
2025-05-22 12:00:00+00:00,BUY,WESTERN UNION CO,-965.00000000,WU,100.0000,9.6500
2025-05-23 12:00:00+00:00,BUY,AGNC INVESTMENT CORP,-887.00000000,AGNC,100.0000,8.8700
2025-05-23 12:00:00+00:00,DIV,SHP ETF TR,50.6300,SPYI,,
2025-05-27 12:00:00+00:00,DIV,ELLINGTON FINANCIAL INC,26.0000,EFC,,
2025-05-28 12:00:00+00:00,DEBIT,ACH WITHDRAWAL,-3000.00,,,
2025-05-30 12:00:00+00:00,BUY,EA SER TR,-4492.40000000,BOXX,40.0000,112.3100
2025-05-30 12:00:00+00:00,SELL,PENNANTPARK FLOATING RATE,2052.02000000,PFLT,-200.0000,10.2601
2025-05-30 12:00:00+00:00,SELL,AGNC INVESTMENT CORP,2682.00000000,AGNC,-300.0000,8.9400
2025-05-30 12:00:00+00:00,BUY,EA SER TR,-4492.60000000,BOXX,40.0000,112.3150
2025-06-02 12:00:00+00:00,BUY,EA SER TR,-5616.81500000,BOXX,50.0000,112.3363
2025-06-02 12:00:00+00:00,SELL,REALTY INCOME CORP,5626.00000000,O,-100.0000,56.2600
2025-06-02 12:00:00+00:00,DIV,PENNANTPARK FLOATING RATE,20.5000,PFLT,,
2025-06-02 12:00:00+00:00,DIV,PENNANTPARK INVESTMENT CORP,32.0000,PNNT,,
2025-06-02 12:00:00+00:00,CREDIT,FIRST LONG ISLAND CORP,0.00,,,
2025-06-02 12:00:00+00:00,CREDIT,CONNECTONE BANCORP INC,0.00,,,
2025-06-03 12:00:00+00:00,DIV,RBB FD INC,14.5300,UTWO,,
2025-06-05 12:00:00+00:00,DIV,SPDR SERIES TRUST,14.5800,SPHY,,
2025-06-06 12:00:00+00:00,DIV,ISHARES INTEREST RATE HEDGED,50.4500,HYGH,,
2025-06-10 12:00:00+00:00,DIV,AGNC INVESTMENT CORP,36.0000,AGNC,,
2025-06-11 12:00:00+00:00,CREDIT,FULLYPAID LENDING REBATE,0.11,,,
2025-06-12 12:00:00+00:00,BUY,PIMCO DYNAMIC INCOME FUND,-1879.68000000,PDI,100.0000,18.7968
2025-06-12 12:00:00+00:00,SELL,EA SER TR,2248.66000000,BOXX,-20.0000,112.4330
2025-06-13 12:00:00+00:00,BUY,J P MORGAN EXCHANGE-TRADED FD,-5279.7154000000,JEPQ,100.0000,52.797154
2025-06-13 12:00:00+00:00,SELL,EA SER TR,4497.72400000,BOXX,-40.0000,112.4431
2025-06-13 12:00:00+00:00,DIV,REALTY INCOME CORP,26.8500,O,,
2025-06-16 12:00:00+00:00,SELL,WESTERN UNION CO,862.00000000,WU,-100.0000,8.6200
